	0
YDR167W_fc	1
YDR168W_fc	1
YDR169C_fc	1
YDR170C_fc	1
YDR171W_fc	1
YDR171W_fc_intermediate_1	1
YDR172W_fc	1
YDR174W_fc	1
YDR175C_fc	1
YDR177W_fc	1
YDR178W_fc	1
YDR182W_fc	1
YDR190C_fc	1
YDR194C_fc	1
YDR202C_fc	1
YDR207C_fc	1
YDR208W_fc	1
YDR210W_fc	1
YDR211W_fc	1
YDR212W_fc	1
YDR213W_fc	1
YDR214W_fc	1
YDR214W_fc_intermediate_1	1
YDR214W_fc_intermediate_2	1
YDR216W_fc	1
YDR222W_fc	1
YDR224C_fc	1
YDR225W_fc	1
YDR226W_fc	1
YDR226W_fc_intermediate_1	1
YDR231C_fc	1
YDR232W_fc	1
YDR232W_fc_intermediate_1	1
YDR232W_fc_intermediate_2	1
YDR233C_fc	1
YDR234W_fc	1
YDR236C_fc	1
YDR238C_fc	1
YDR244W_fc	1
YDR245W_fc	0
YDR248C_fc	1
YDR251W_fc	1
YDR253C_fc	1
YDR258C_fc	1
YDR258C_fc_intermediate_1	1
YDR259C_fc	1
YDR260C_fc	1
YDR261C_fc	1
YDR262W_fc	1
YDR262W_fc_intermediate_1	1
YDR266C_fc	1
YDR267C_fc	1
YDR272W_fc	1
YDR275W_fc	1
YDR276C_fc	1
YDR276C_fc_andNotIntermediate	1
YDR276C_fc_intermediate_1	1
YDR279W_fc	1
YDR280W_fc	1
YDR281C_fc	1
YDR283C_fc	1
YDR284C_fc	1
YDR286C_fc	1
YDR287W_fc	1
YDR294C_fc	1
YDR296W_fc	1
YDR297W_fc	1
YDR298C_fc	1
YDR300C_fc	1
YDR302W_fc	1
YDR304C_fc	1
YDR304C_fc_intermediate_1	1
YDR304C_fc_intermediate_2	1
YDR309C_fc	1
YDR309C_fc_intermediate_1	1
YDR309C_fc_intermediate_2	1
YDR310C_fc	1
YDR319C_fc	1
YDR321W_fc	1
YDR322W_fc	1
YDR328C_fc	1
YDR330W_fc	1
YDR333C_fc	1
YDR335W_fc	1
YDR339C_fc	1
YDR339C_fc_intermediate_1	1
YDR341C_fc	1
YDR342C_fc	1
YDR342C_fc_andNotIntermediate	1
YDR342C_fc_intermediate_1	1
YDR342C_fc_intermediate_2	1
YDR342C_fc_intermediate_3	1
YDR343C_fc	1
YDR343C_fc_intermediate_1	1
YDR345C_fc	1
YDR349C_fc	1
YDR353W_fc	1
YDR354W_fc	1
YDR361C_fc	1
YDR361C_fc_intermediate_1	1
YDR365C_fc	1
YDR366C_fc	1
YDR367W_fc	1
YDR368W_fc	1
YDR372C_fc	1
YDR373W_fc	1
YDR376W_fc	1
YDR377W_fc	1
YDR378C_fc	1
YDR378C_fc_intermediate_1	1
YDR381W_fc	1
YDR382W_fc	1
YDR384C_fc	1
YDR384C_fc_andNotIntermediate	1
YDR384C_fc_intermediate_1	1
YDR384C_fc_intermediate_2	1
YDR385W_fc	1
YDR385W_fc_intermediate_1	1
YDR385W_fc_intermediate_2	1
YDR388W_fc	1
YDR388W_fc_intermediate_1	1
YDR388W_fc_intermediate_2	1
YDR391C_fc	1
YDR391C_fc_intermediate_1	1
YDR393W_fc	1
YDR394W_fc	1
YDR395W_fc	1
YDR397C_fc	1
YDR399W_fc	1
YDR399W_fc_andNotIntermediate	1
YDR399W_fc_intermediate_1	1
YDR404C_fc	1
YDR405W_fc	1
YDR408C_fc	1
YDR408C_fc_intermediate_1	1
YDR410C_fc	1
YDR411C_fc	1
YDR418W_fc	1
YDR421W_fc	1
YDR423C_fc	1
YDR427W_fc	1
YDR429C_fc	1
YDR434W_fc	1
YDR435C_fc	1
YDR441C_fc	1
YDR447C_fc	1
YDR449C_fc	1
YDR450W_fc	1
YDR451C_fc	1
YDR452W_fc	1
YDR453C_fc	1
YDR454C_fc	1
YDR456W_fc	1
YDR457W_fc	1
YDR458C_fc	1
YDR463W_fc	1
YDR465C_fc	1
YDR468C_fc	1
YDR471W_fc	1
YDR471W_fc_intermediate_1	1
YDR472W_fc	1
YDR476C_fc	1
YDR477W_fc	1
YDR479C_fc	1
YDR483W_fc	1
YDR483W_fc_intermediate_1	1
YDR483W_fc_intermediate_2	1
YDR483W_fc_intermediate_3	1
YDR486C_fc	1
YDR487C_fc	1
YDR492W_fc	1
YDR493W_fc	1
YDR494W_fc	1
YDR496C_fc	1
YDR497C_fc	1
YDR500C_fc	1
YDR502C_fc	1
YDR502C_fc_intermediate_1	1
YDR508C_fc	1
YDR510W_fc	1
YDR510W_fc_intermediate_1	1
YDR512C_fc	1
YDR513W_fc	1
YDR513W_fc_intermediate_1	1
YDR513W_fc_intermediate_2	1
YDR513W_fc_intermediate_3	1
YDR516C_fc	1
YDR516C_fc_intermediate_1	1
YDR516C_fc_intermediate_2	1
YDR517W_fc	1
YDR518W_fc	1
YDR519W_fc	1
YDR520C_fc	1
YDR527W_fc	1
YDR529C_fc	1
YDR530C_fc	1
YDR531W_fc	1
YDR533C_fc	1
YDR533C_fc_intermediate_1	1
YDR539W_fc	1
YEL001C_fc	1
YEL002C_fc	1
YEL005C_fc	1
YEL006W_fc	1
YEL007W_fc	1
YEL009C_fc	1
YEL011W_fc	1
YEL011W_fc_andNotIntermediate	1
YEL011W_fc_intermediate_1	1
YEL011W_fc_intermediate_2	1
YEL012W_fc	1
